MSRP,Engine HP,Engine Cylinders,city mpg,highway MPG
45490,350.0,6.0,18,26
41990,350.0,6.0,18,26
38370,332.0,6.0,19,26
43290,350.0,6.0,19,26
41820,332.0,6.0,18,25
48100,332.0,6.0,17,24
43290,350.0,6.0,19,26
39270,332.0,6.0,19,26
34870,332.0,6.0,19,26
41990,350.0,6.0,18,26
38370,332.0,6.0,19,26
45270,332.0,6.0,17,24
45490,350.0,6.0,18,26
29990,332.0,6.0,18,26
46570,332.0,6.0,18,25
46790,350.0,6.0,19,26
49400,332.0,6.0,18,25
37070,332.0,6.0,18,26
31290,332.0,6.0,19,26
37970,332.0,6.0,18,26
33570,332.0,6.0,18,26
37970,332.0,6.0,18,26
38370,332.0,6.0,19,26
34870,332.0,6.0,19,26
29990,332.0,6.0,18,26
45490,350.0,6.0,18,26
41990,350.0,6.0,18,26
45270,332.0,6.0,17,24
33570,332.0,6.0,18,26
48100,332.0,6.0,17,24
39270,332.0,6.0,19,26
46570,332.0,6.0,18,25
49400,332.0,6.0,18,25
37070,332.0,6.0,18,26
41820,332.0,6.0,18,25
46790,350.0,6.0,19,26
43290,350.0,6.0,19,26
31290,332.0,6.0,19,26
25045,184.0,4.0,25,37
26095,184.0,4.0,28,39
23795,155.0,4.0,30,41
19595,155.0,4.0,29,41
18445,155.0,4.0,29,41
23845,184.0,4.0,25,37
25395,184.0,4.0,27,37
24895,184.0,4.0,28,39
25545,184.0,4.0,26,35
24295,155.0,4.0,30,40
19495,155.0,4.0,30,41
20095,155.0,4.0,29,40
19995,155.0,4.0,30,40
21145,155.0,4.0,30,40
23245,155.0,4.0,29,40
16945,155.0,4.0,29,41
24345,184.0,4.0,26,35
20645,155.0,4.0,30,41
18945,155.0,4.0,29,40
26595,184.0,4.0,27,37
22745,155.0,4.0,29,41
17995,155.0,4.0,30,41
22545,155.0,4.0,29,41
21095,155.0,4.0,30,41
25495,184.0,4.0,27,37
20745,155.0,4.0,29,40
24295,155.0,4.0,30,40
23595,155.0,4.0,30,41
21795,155.0,4.0,30,40
17845,155.0,4.0,29,41
26495,184.0,4.0,27,37
24745,184.0,4.0,25,37
18895,155.0,4.0,30,41
19595,155.0,4.0,30,40
23245,155.0,4.0,29,40
18545,155.0,4.0,29,40
25795,184.0,4.0,28,39
20045,155.0,4.0,29,41
25445,184.0,4.0,26,35
24795,184.0,4.0,28,39
21495,155.0,4.0,28,37
17845,155.0,4.0,27,37
23145,184.0,4.0,25,34
24195,184.0,4.0,27,36
20145,155.0,4.0,28,37
24945,184.0,4.0,26,35
23895,184.0,4.0,25,33
19095,155.0,4.0,27,37
23445,184.0,4.0,26,35
18895,155.0,4.0,28,37
22245,155.0,4.0,28,37
22395,184.0,4.0,25,33
20445,155.0,4.0,27,37
42300,240.0,4.0,22,33
40300,240.0,4.0,23,34
45800,300.0,6.0,21,32
47800,300.0,6.0,20,31
43650,240.0,4.0,22,34
49950,300.0,6.0,20,30
47950,300.0,6.0,20,31
41650,240.0,4.0,23,34
48300,320.0,6.0,21,32
50300,320.0,6.0,21,31
43950,248.0,4.0,23,33
41950,248.0,4.0,23,34
56900,300.0,6.0,20,29
46250,300.0,6.0,21,32
50750,240.0,4.0,21,33
42750,240.0,4.0,22,33
48750,240.0,4.0,23,34
48250,300.0,6.0,20,30
40750,240.0,4.0,23,35
54900,300.0,6.0,20,31
52000,240.0,4.0,21,33
50000,240.0,4.0,23,34
41850,240.0,4.0,22,34
50150,300.0,6.0,20,30
41850,240.0,4.0,23,35
58950,300.0,6.0,20,29
43850,240.0,4.0,22,34
48150,300.0,6.0,20,31
56950,300.0,6.0,20,31
50300,248.0,4.0,23,34
52300,248.0,4.0,22,32
50500,320.0,6.0,21,31
44150,248.0,4.0,23,33
42150,248.0,4.0,23,34
59300,320.0,6.0,20,30
57300,320.0,6.0,21,29
48500,320.0,6.0,21,32
2168,268.0,8.0,15,20
2497,282.0,8.0,12,16
2278,275.0,8.0,16,22
2650,275.0,8.0,13,17
2000,201.0,8.0,14,17
2186,201.0,8.0,14,17
223970,442.0,12.0,9,14
219775,442.0,12.0,9,15
228625,442.0,12.0,9,14
224585,442.0,12.0,9,15
228625,442.0,12.0,9,14
224585,442.0,12.0,9,15
257412,562.0,8.0,13,17
233509,562.0,8.0,13,17
233509,562.0,8.0,13,17
288000,597.0,8.0,13,17
257412,562.0,8.0,13,17
239340,562.0,8.0,13,17
263553,562.0,8.0,13,17
291744,597.0,8.0,13,17
63900,237.0,4.0,24,34
68400,237.0,4.0,24,34
53900,237.0,4.0,24,34
55900,237.0,4.0,24,34
65900,237.0,4.0,24,34
41365,270.0,6.0,17,23
35740,270.0,6.0,17,23
37615,270.0,6.0,17,22
34695,270.0,6.0,17,22
35725,270.0,6.0,17,22
43400,270.0,6.0,17,22
32820,270.0,6.0,17,23
38645,270.0,6.0,17,22
37825,270.0,6.0,17,21
43620,270.0,6.0,17,21
36115,270.0,6.0,17,21
35950,270.0,6.0,17,22
33210,270.0,6.0,17,22
38855,270.0,6.0,17,21
41585,270.0,6.0,17,22
35085,270.0,6.0,17,21
41310,270.0,6.0,17,21
36690,270.0,6.0,17,22
44360,270.0,6.0,17,21
39595,270.0,6.0,17,21
41850,270.0,6.0,17,21
42325,270.0,6.0,17,22
35885,270.0,6.0,17,21
38565,270.0,6.0,17,21
36915,270.0,6.0,17,21
34010,270.0,6.0,17,22
60700,300.0,6.0,19,28
71400,445.0,8.0,16,24
63000,300.0,6.0,18,26
69100,445.0,8.0,16,25
63200,300.0,6.0,18,26
72500,445.0,8.0,16,24
60900,300.0,6.0,19,28
63200,300.0,6.0,18,26
60900,300.0,6.0,19,27
72500,445.0,8.0,15,24
67200,443.0,8.0,16,25
57900,302.0,6.0,20,29
57100,255.0,6.0,26,38
52250,241.0,4.0,22,33
59400,255.0,6.0,26,37
64900,443.0,8.0,17,25
49950,241.0,4.0,23,34
55600,302.0,6.0,20,31
57350,255.0,6.0,26,38
58150,302.0,6.0,20,29
55850,302.0,6.0,20,31
52500,240.0,4.0,22,34
50200,240.0,4.0,23,34
68600,443.0,8.0,16,25
66300,443.0,8.0,17,25
59650,255.0,6.0,26,37
4155,322.0,8.0,13,17
2427,322.0,8.0,11,15
3245,322.0,8.0,13,16
4701,322.0,8.0,13,17
3176,315.0,8.0,12,16
3613,315.0,8.0,14,18
5140,315.0,8.0,14,19
2692,315.0,8.0,12,16
31800,239.0,0.0,122,108
31800,239.0,0.0,121,103
31800,239.0,0.0,121,103
26595,160.0,4.0,28,34
18700,101.0,4.0,31,40
19700,135.0,4.0,28,34
22800,101.0,4.0,28,34
24700,101.0,4.0,28,34
22495,160.0,4.0,28,34
17495,101.0,4.0,31,40
20345,101.0,4.0,28,34
17700,101.0,4.0,31,40
20400,101.0,4.0,31,40
16845,101.0,4.0,31,40
26695,160.0,4.0,28,34
21295,101.0,4.0,31,40
20395,101.0,4.0,31,40
17745,101.0,4.0,31,40
22575,160.0,4.0,28,34
24495,101.0,4.0,31,40
16995,101.0,4.0,31,40
20395,101.0,4.0,31,40
19700,135.0,4.0,28,34
17900,101.0,4.0,31,40
21395,101.0,4.0,31,40
19995,160.0,4.0,28,33
19390,101.0,4.0,27,33
17485,101.0,4.0,27,33
20885,101.0,4.0,27,33
21490,160.0,4.0,28,33
15990,101.0,4.0,27,33
19345,160.0,4.0,25,33
23095,160.0,4.0,25,33
24695,160.0,4.0,22,30
21695,160.0,4.0,25,33
20695,160.0,4.0,25,33
21880,160.0,4.0,25,33
23395,160.0,4.0,25,33
24795,160.0,4.0,22,30
20795,160.0,4.0,25,33
19495,160.0,4.0,25,33
23695,160.0,4.0,22,30
20995,160.0,4.0,22,30
22995,160.0,4.0,22,30
24635,180.0,4.0,21,30
25135,180.0,4.0,22,31
29235,180.0,4.0,21,30
23335,180.0,4.0,22,31
22735,180.0,4.0,22,31
27035,180.0,4.0,21,30
20000,160.0,4.0,25,34
27335,180.0,4.0,22,31
25235,180.0,4.0,21,30
27035,180.0,4.0,21,29
25135,180.0,4.0,22,30
25235,180.0,4.0,21,29
23890,180.0,4.0,21,29
23335,180.0,4.0,22,30
19995,160.0,4.0,25,33
248500,485.0,12.0,8,12
205840,485.0,12.0,8,12
2323,238.0,8.0,12,16
2170,238.0,8.0,12,16
2443,238.0,8.0,12,16
2304,238.0,8.0,12,16
184900,562.0,8.0,16,23
214670,515.0,12.0,9,15
224670,515.0,12.0,9,16
217890,515.0,12.0,9,15
228339,515.0,12.0,9,16
228339,515.0,12.0,9,16
217890,515.0,12.0,9,15
366000,543.0,12.0,10,16
455500,631.0,12.0,10,16
405500,604.0,12.0,10,16
372500,543.0,12.0,10,16
412000,620.0,12.0,10,16
379050,543.0,12.0,10,16
418950,620.0,12.0,10,16
320580,611.0,12.0,11,15
310543,611.0,12.0,11,15
310543,611.0,12.0,11,15
320580,611.0,12.0,11,15
410000,661.0,12.0,11,15
24470,157.0,4.0,22,28
20940,157.0,4.0,22,28
19940,157.0,4.0,21,28
22070,157.0,4.0,22,28
20140,157.0,4.0,21,28
24670,157.0,4.0,22,28
21140,157.0,4.0,22,28
22270,157.0,4.0,22,28
24770,157.0,4.0,21,28
22370,157.0,4.0,21,28
21240,157.0,4.0,21,28
92600,445.0,8.0,16,24
81300,315.0,6.0,20,29
78300,315.0,6.0,20,31
89600,445.0,8.0,17,25
93900,445.0,8.0,15,24
82500,315.0,6.0,20,29
90900,445.0,8.0,17,25
79500,315.0,6.0,20,31
91200,445.0,8.0,17,24
82800,315.0,6.0,19,28
94200,445.0,8.0,15,24
79800,315.0,6.0,20,29
94900,445.0,8.0,17,25
86600,315.0,6.0,20,29
79100,315.0,6.0,20,29
76100,315.0,6.0,21,32
90400,445.0,8.0,16,25
83600,315.0,6.0,20,31
87400,445.0,8.0,17,25
97900,445.0,8.0,16,24
87800,315.0,6.0,20,29
77300,315.0,6.0,20,31
99200,445.0,8.0,15,24
96200,445.0,8.0,17,25
80300,315.0,6.0,20,29
84800,315.0,6.0,20,31
91700,445.0,8.0,16,25
88700,445.0,8.0,17,25
92000,445.0,8.0,16,24
77600,315.0,6.0,21,30
89000,445.0,8.0,17,24
80600,315.0,6.0,19,28
85100,315.0,6.0,20,29
88100,315.0,6.0,19,28
96500,445.0,8.0,17,24
99500,445.0,8.0,15,24
2960,402.0,12.0,10,14
3108,389.0,12.0,11,15
4623,389.0,12.0,12,16
3211,389.0,12.0,11,15
2000,140.0,6.0,17,27
2000,110.0,4.0,20,29
2000,140.0,6.0,17,27
2000,140.0,6.0,17,27
2000,140.0,6.0,17,28
2000,140.0,6.0,17,28
2000,110.0,4.0,19,28
313088,532.0,12.0,9,16
313088,532.0,12.0,9,16
313088,532.0,12.0,9,16
2080,170.0,6.0,19,25
2234,170.0,6.0,19,25
2000,130.0,4.0,23,29
2146,130.0,4.0,19,25
22935,165.0,6.0,19,25
19935,165.0,6.0,19,25
20935,125.0,4.0,19,25
18735,125.0,4.0,23,29
19985,165.0,6.0,19,25
18785,125.0,4.0,23,29
21885,165.0,6.0,19,25
456500,604.0,12.0,10,16
417000,543.0,12.0,10,16
506500,631.0,12.0,10,16
423500,543.0,12.0,10,16
463000,620.0,12.0,10,16
470350,620.0,12.0,10,16
430450,543.0,12.0,10,16
265500,641.0,8.0,16,22
280225,641.0,8.0,16,22
24895,184.0,4.0,26,38
22895,184.0,4.0,26,38
23845,184.0,4.0,25,37
21190,184.0,4.0,25,37
29895,184.0,4.0,28,40
22995,184.0,4.0,26,38
24995,184.0,4.0,26,38
21495,184.0,4.0,25,37
30195,184.0,4.0,26,38
23945,184.0,4.0,25,37
30695,184.0,4.0,26,35
21945,184.0,4.0,24,34
24195,184.0,4.0,24,34
22995,184.0,4.0,26,35
25245,184.0,4.0,26,35
141200,535.0,12.0,13,20
78000,315.0,6.0,19,29
91000,445.0,8.0,16,25
94000,445.0,8.0,16,24
81000,315.0,6.0,19,28
74000,315.0,6.0,19,29
87300,445.0,8.0,17,25
90300,445.0,8.0,16,24
82500,255.0,6.0,23,31
94400,445.0,8.0,17,25
81300,320.0,6.0,21,29
97400,445.0,8.0,16,25
94600,445.0,8.0,17,26
97600,445.0,8.0,16,25
84500,320.0,6.0,19,28
81500,320.0,6.0,21,29
53900,300.0,4.0,21,28
66300,350.0,4.0,20,26
2000,114.0,4.0,19,26
2000,153.0,4.0,19,26
2000,114.0,4.0,19,26
2000,153.0,4.0,18,23
2000,162.0,4.0,17,20
2000,162.0,4.0,18,24
2000,114.0,4.0,18,24
2000,162.0,4.0,17,20
2000,162.0,4.0,18,24
2000,114.0,4.0,18,24
2000,162.0,4.0,17,20
2000,114.0,4.0,18,26
2000,114.0,4.0,18,26
2000,144.0,6.0,15,19
2000,162.0,4.0,16,20
2000,162.0,4.0,16,20
2000,188.0,4.0,16,20
2000,144.0,6.0,15,19
4784,282.0,8.0,15,22
5858,322.0,12.0,12,19
8488,372.0,12.0,10,18
6954,322.0,12.0,12,19
5680,282.0,8.0,14,19
7624,322.0,12.0,12,19
6693,282.0,8.0,14,19
2000,108.0,4.0,19,28
2000,130.0,5.0,16,22
2000,130.0,5.0,18,24
2000,130.0,5.0,16,22
2000,130.0,5.0,18,24
2000,130.0,5.0,16,22
2000,222.0,5.0,17,24
2000,168.0,5.0,18,26
2000,240.0,5.0,17,24
2000,168.0,5.0,18,26
2000,222.0,5.0,17,24
2000,240.0,5.0,17,24
2000,222.0,5.0,17,24
2000,222.0,5.0,17,24
2000,168.0,5.0,18,26
2000,240.0,5.0,17,24
2000,168.0,5.0,18,26
2000,240.0,5.0,17,24
2000,168.0,5.0,18,26
2000,168.0,5.0,18,26
2000,240.0,5.0,17,24
2000,222.0,5.0,17,24
2091,240.0,5.0,17,24
2000,190.0,5.0,18,24
2000,190.0,5.0,18,24
2000,222.0,5.0,17,24
26255,205.0,4.0,21,28
26975,200.0,4.0,24,32
26950,227.0,4.0,17,24
22990,165.0,4.0,20,27
26950,230.0,4.0,18,25
22990,173.0,4.0,19,26
28900,220.0,4.0,20,33
44080,220.0,4.0,20,33
46080,220.0,4.0,20,33
37115,220.0,4.0,20,30
39490,220.0,4.0,20,33
34340,220.0,4.0,20,33
44080,220.0,4.0,18,28
40840,220.0,4.0,18,28
31180,220.0,4.0,18,28
32395,220.0,4.0,20,30
34340,220.0,4.0,19,29
34975,220.0,4.0,18,29
37115,220.0,4.0,18,29
34975,220.0,4.0,20,30
30250,220.0,4.0,19,29
32395,220.0,4.0,18,29
29830,220.0,4.0,20,33
46080,220.0,4.0,18,28
37810,210.0,4.0,17,27
51330,280.0,6.0,15,24
38305,210.0,4.0,19,27
44885,280.0,6.0,15,24
30360,210.0,4.0,19,29
42130,210.0,4.0,19,27
43605,280.0,6.0,15,24
31790,210.0,4.0,19,29
35315,210.0,4.0,19,27
37140,210.0,4.0,19,28
34150,210.0,4.0,19,28
44455,210.0,4.0,19,27
36395,210.0,4.0,17,27
47345,210.0,4.0,19,27
32395,207.0,4.0,17,27
28900,207.0,4.0,21,31
30330,207.0,4.0,21,31
39990,207.0,4.0,20,29
38115,207.0,4.0,17,27
45080,207.0,4.0,19,27
35340,207.0,4.0,19,28
36975,207.0,4.0,17,27
37020,207.0,4.0,19,27
28900,210.0,4.0,21,31
38115,210.0,4.0,17,27
32395,210.0,4.0,17,27
39990,210.0,4.0,20,29
30330,210.0,4.0,21,31
37020,210.0,4.0,19,27
35340,210.0,4.0,19,28
36975,210.0,4.0,17,27
45080,210.0,4.0,19,27
37250,265.0,6.0,18,25
35875,265.0,6.0,17,23
33380,265.0,6.0,18,25
40245,265.0,6.0,17,23
48010,300.0,6.0,15,22
39400,260.0,4.0,17,27
43270,260.0,4.0,17,27
39650,260.0,4.0,17,27
38380,260.0,4.0,17,27
40765,260.0,4.0,17,27
42000,260.0,4.0,17,27
49165,300.0,6.0,16,27
38525,220.0,4.0,20,33
49565,300.0,6.0,17,27
43435,220.0,4.0,18,28
48030,300.0,6.0,17,27
39190,290.0,6.0,14,20
41190,300.0,8.0,13,19
42770,300.0,8.0,13,19
40400,285.0,6.0,14,20
46530,390.0,8.0,12,16
49105,390.0,8.0,12,16
42615,285.0,6.0,14,20
45345,300.0,8.0,14,20
2000,225.0,4.0,18,25
2000,210.0,6.0,16,24
2000,170.0,4.0,18,25
2000,200.0,4.0,18,25
2122,210.0,6.0,16,24
2000,170.0,4.0,18,26
2145,225.0,4.0,18,26
2084,200.0,4.0,18,26
2063,200.0,4.0,18,26
2172,225.0,4.0,18,25
2000,185.0,4.0,18,26
2000,185.0,4.0,15,23
2000,150.0,4.0,18,26
2000,170.0,6.0,17,23
2000,185.0,4.0,18,26
2000,170.0,6.0,17,23
2000,150.0,4.0,18,26
2000,150.0,4.0,18,26
2000,185.0,4.0,18,25
2000,170.0,6.0,17,23
2000,150.0,4.0,18,26
2000,150.0,4.0,18,26
2078,185.0,4.0,18,25
2000,185.0,4.0,18,25
2117,170.0,6.0,17,23
2000,150.0,4.0,18,26
2115,185.0,4.0,18,25
2000,185.0,4.0,18,25
2000,185.0,4.0,18,24
2268,185.0,4.0,18,25
2000,185.0,4.0,18,24
2000,172.0,6.0,15,20
2000,172.0,6.0,18,24
2000,172.0,6.0,17,22
2000,172.0,6.0,18,24
2000,172.0,6.0,17,23
2000,172.0,6.0,17,24
96200,350.0,6.0,19,27
132800,430.0,6.0,18,25
120900,430.0,6.0,18,26
105630,400.0,6.0,18,26
98900,400.0,6.0,19,27
163000,520.0,6.0,17,24
102930,350.0,6.0,19,26
151100,520.0,6.0,17,24
91030,350.0,6.0,19,27
84300,350.0,6.0,19,27
114200,430.0,6.0,18,26
182700,560.0,6.0,17,24
194600,560.0,6.0,17,24
130400,475.0,6.0,15,20
110800,400.0,6.0,19,27
117530,400.0,6.0,18,26
126100,430.0,6.0,18,25
101600,350.0,6.0,18,26
116200,400.0,6.0,18,26
102930,350.0,6.0,19,26
120900,430.0,6.0,18,26
105630,400.0,6.0,18,26
126100,430.0,6.0,18,25
91030,350.0,6.0,19,27
98900,400.0,6.0,19,27
132800,430.0,6.0,18,25
84300,350.0,6.0,19,27
151100,520.0,6.0,17,24
104600,350.0,6.0,19,26
102930,350.0,6.0,18,26
132800,430.0,6.0,18,26
114200,430.0,6.0,18,26
88800,350.0,6.0,19,27
194600,560.0,6.0,17,24
96200,350.0,6.0,19,27
117530,400.0,6.0,18,26
94800,350.0,6.0,19,27
110800,400.0,6.0,19,27
117530,400.0,6.0,18,26
98500,350.0,6.0,19,27
163000,520.0,6.0,17,24
182700,560.0,6.0,17,24
130400,475.0,6.0,15,20
